Tanggal,Prediksi,CI_Bawah_95,CI_Atas_95,Aset,Ticker
2026-05-29,419.1335532551181,394.90595988102626,443.36114662920994,Microsoft,MSFT
2026-06-01,419.1065957115337,393.00101646163165,445.2121749614358,Microsoft,MSFT
2026-06-02,419.1282362904207,391.2326308327379,447.0238417481035,Microsoft,MSFT
2026-06-03,419.1108639859636,389.562434358353,448.65929361357416,Microsoft,MSFT
2026-06-04,419.1248098680829,387.98909031436665,450.2605294217991,Microsoft,MSFT
2026-06-05,419.1136145987066,386.484654864593,451.7425743328202,Microsoft,MSFT
2026-06-08,419.1226017717901,385.05277001725506,453.1924335263251,Microsoft,MSFT
2026-06-09,419.11538718165224,383.67326080829184,454.55751355501263,Microsoft,MSFT
2026-06-10,419.12117880382016,382.35016032924096,455.89219727839935,Microsoft,MSFT
2026-06-11,419.11652949087306,381.06903962507147,457.16401935667466,Microsoft,MSFT
2026-06-12,419.1202617976868,379.8330604665725,458.4074631288011,Microsoft,MSFT
2026-06-15,419.1172656315198,378.6319522365241,459.60257902651546,Microsoft,MSFT
2026-06-16,419.1196708495654,377.4678422122631,460.7714994868677,Microsoft,MSFT
2026-06-17,419.117740024129,376.3334190261813,461.9020610220767,Microsoft,MSFT
2026-06-18,419.1192900236697,375.229944191751,463.0086358555884,Microsoft,MSFT
2026-06-19,419.1180457379197,374.1521899088856,464.08390156695384,Microsoft,MSFT
2026-06-22,419.1190446072657,373.1007822494713,465.13730696506013,Microsoft,MSFT
2026-06-23,419.1182427496776,372.07195214577143,466.1645333535838,Microsoft,MSFT
2026-06-24,419.11888645307505,371.06589385041764,467.17187905573246,Microsoft,MSFT
2026-06-25,419.1183697103641,370.07985791186206,468.15688150886615,Microsoft,MSFT
2026-06-26,419.11878453344934,369.1137627987973,469.12380626810136,Microsoft,MSFT
2026-06-29,419.11845152789664,368.1655730077415,470.0713300480518,Microsoft,MSFT
2026-06-30,419.11871885317834,367.2350422903654,471.00239541599126,Microsoft,MSFT
2026-07-01,419.118504253735,366.32063746185287,471.91637104561715,Microsoft,MSFT
2026-07-02,419.11867652670816,365.4220228466756,472.8153302067407,Microsoft,MSFT
2026-05-21,2126.387449966152,1936.316380938765,2316.458518993539,Ethereum,ETH-USD
2026-05-22,2127.037467445273,1865.5157622813877,2388.559172609158,Ethereum,ETH-USD
2026-05-23,2125.71316709745,1807.2294953555115,2444.1968388393884,Ethereum,ETH-USD
2026-05-24,2126.9571285622937,1758.409495019167,2495.5047621054205,Ethereum,ETH-USD
2026-05-25,2126.629401492548,1713.946913498496,2539.3118894865997,Ethereum,ETH-USD
2026-05-26,2126.4095388279165,1676.5070092675223,2576.3120683883108,Ethereum,ETH-USD
2026-05-27,2126.202675279852,1640.017918859799,2612.387431699905,Ethereum,ETH-USD
2026-05-28,2126.97365389937,1606.404610242752,2647.5426975559885,Ethereum,ETH-USD
2026-05-29,2126.439555278697,1574.950506790292,2677.928603767102,Ethereum,ETH-USD
2026-05-30,2126.2714799371442,1545.811390435374,2706.7315694389144,Ethereum,ETH-USD
2026-05-31,2126.602668480424,1517.0421406350406,2736.163196325808,Ethereum,ETH-USD
2026-06-01,2126.7900815787407,1490.0622637676113,2763.51789938987,Ethereum,ETH-USD
2026-06-02,2126.2586474133927,1464.3196837498213,2788.197611076964,Ethereum,ETH-USD
2026-06-03,2126.440674588447,1439.461898155323,2813.419451021571,Ethereum,ETH-USD
2026-06-04,2126.7547804854353,1415.1320322754127,2838.377528695458,Ethereum,ETH-USD
2026-06-05,2126.5171628563603,1392.0048450182383,2861.029480694482,Ethereum,ETH-USD
2026-06-06,2126.2818744890906,1369.5272717196965,2883.0364772584844,Ethereum,ETH-USD
2026-06-07,2126.648791764695,1347.5467115762967,2905.7508719530933,Ethereum,ETH-USD
2026-06-08,2126.663933446207,1326.1721598563724,2927.1557070360413,Ethereum,ETH-USD
2026-06-09,2126.3488633371585,1305.5405337951781,2947.157192879139,Ethereum,ETH-USD
2026-06-10,2126.455842538676,1285.2880405245369,2967.6236445528148,Ethereum,ETH-USD
2026-06-11,2126.7122776492392,1265.4635280890845,2987.961027209394,Ethereum,ETH-USD
2026-06-12,2126.485641729678,1246.159793625703,3006.8114898336526,Ethereum,ETH-USD
2026-06-13,2126.3639322648546,1227.3097727837444,3025.418091745965,Ethereum,ETH-USD
2026-06-14,2126.6177499600126,1208.7566959624146,3044.4788039576106,Ethereum,ETH-USD
2026-06-15,2126.620926533558,1190.5895366125173,3062.6523164545983,Ethereum,ETH-USD
2026-06-16,2126.3824749114924,1172.8124255752464,3079.9525242477384,Ethereum,ETH-USD
2026-06-17,2126.49112620985,1155.3489520287335,3097.6333003909663,Ethereum,ETH-USD
2026-06-18,2126.6568729191476,1138.1551152446725,3115.1586305936225,Ethereum,ETH-USD
2026-06-19,2126.4852986474166,1121.2794319273237,3131.6911653675097,Ethereum,ETH-USD
